Sr No,Model Name,Skin Name,Image URL
53,Nothing Phone (2a),Marvel Heroes,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Marvel%20Heroes.jpg
54,Nothing Phone (2a),Minimalist Art,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Minimalist%20Art.jpg
55,Nothing Phone (2a),Multi Color,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Multi%20Color.jpg
56,Nothing Phone (2a),Neon Black,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Neon%20Black.jpg
57,Nothing Phone (2a),Old Memory,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Old%20Memory.jpg
58,Nothing Phone (2a),Old Watch,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Old%20Watch.jpg
59,Nothing Phone (2a),One Pice,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_One%20Pice.jpg
60,Nothing Phone (2a),Orange Blcok,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Orange%20Blcok.jpg
61,Nothing Phone (2a),Professor,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Professor.jpg
62,Nothing Phone (2a),Psycho,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Psycho.jpg
63,Nothing Phone (2a),Pubg,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Pubg.jpg
64,Nothing Phone (2a),Quotes,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Quotes.jpg
65,Nothing Phone (2a),Rang Rover,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Rang%20Rover.jpg
66,Nothing Phone (2a),Retro Circle,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Retro%20Circle.jpg
67,Nothing Phone (2a),Rocket Planet,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Rocket%20Planet.jpg
68,Nothing Phone (2a),Rocket,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Rocket.jpg
69,Nothing Phone (2a),Santa Claus,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Santa%20Claus.jpg
70,Nothing Phone (2a),Signature Pen,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Signature%20Pen.jpg
71,Nothing Phone (2a),Silver Box,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Silver%20Box.jpg
72,Nothing Phone (2a),Simle Emoji,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Simle%20Emoji.jpg
73,Nothing Phone (2a),Skeleton Smoke,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Skeleton%20Smoke.jpg
74,Nothing Phone (2a),Skeleton,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Skeleton.jpg
75,Nothing Phone (2a),Sleeping Lines,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Sleeping%20Lines.jpg
76,Nothing Phone (2a),Smily,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Smily.jpg
77,Nothing Phone (2a),Social Media,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Social%20Media.jpg
78,Nothing Phone (2a),Spiderman,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Spiderman.jpg
79,Nothing Phone (2a),Standing Lines,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Standing%20Lines.jpg
80,Nothing Phone (2a),Suit,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Suit.jpg
81,Nothing Phone (2a),Thaar,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Thaar.jpg
82,Nothing Phone (2a),The Thinker,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_The%20Thinker.jpg
83,Nothing Phone (2a),Tony Stark,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Tony%20Stark.jpg
84,Nothing Phone (2a),Trading,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Trading.jpg
85,Nothing Phone (2a),Tringle Block,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Tringle%20Block.jpg
86,Nothing Phone (2a),Winter Soldier,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Winter%20Soldier.jpg
87,Nothing Phone (2a),Wolverine,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Wolverine.jpg
88,Nothing Phone (2a),Yello Professor,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Yello%20Professor.jpg
89,Nothing Phone (2a),Yellow Blocks,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Yellow%20Blocks.jpg
90,Nothing Phone (2a),Yellow Box,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%282a%29_Yellow%20Box.jpg
91,Nothing Phone (3a),3D Character,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_3D%20Character.jpg
92,Nothing Phone (3a),Abstract Planet,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Abstract%20Planet.jpg
93,Nothing Phone (3a),Abstract Triangle,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Abstract%20Triangle.jpg
94,Nothing Phone (3a),Abstract,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Abstract.jpg
95,Nothing Phone (3a),AI Captain,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_AI%20Captain.jpg
96,Nothing Phone (3a),AI CPU,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_AI%20CPU.jpg
97,Nothing Phone (3a),AI Nature,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_AI%20Nature.jpg
98,Nothing Phone (3a),Antman,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Antman.jpg
99,Nothing Phone (3a),Black Box,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Black%20Box.jpg
100,Nothing Phone (3a),Black Hexagones,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Black%20Hexagones.jpg
101,Nothing Phone (3a),Black Light,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Black%20Light.jpg
102,Nothing Phone (3a),Black Spiderman,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Black%20Spiderman.jpg
103,Nothing Phone (3a),Blue Tech,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Blue%20Tech.jpg
104,Nothing Phone (3a),Body Builder,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Body%20Builder.jpg
105,Nothing Phone (3a),Butcher,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Butcher.jpg
106,Nothing Phone (3a),Captain America,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Captain%20America.jpg
107,Nothing Phone (3a),Chess,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Chess.jpg
108,Nothing Phone (3a),Color Abstract,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Color%20Abstract.jpg
109,Nothing Phone (3a),Colorful Rocks,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Colorful%20Rocks.jpg
110,Nothing Phone (3a),Crystal Blocks,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Crystal%20Blocks.jpg
111,Nothing Phone (3a),Cube,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Cube.jpg
112,Nothing Phone (3a),Dark Silver,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Dark%20Silver.jpg
113,Nothing Phone (3a),Dhoni,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Dhoni.jpg
114,Nothing Phone (3a),Digital Dojo,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Digital%20Dojo.jpg
115,Nothing Phone (3a),Doomsday,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Doomsday.jpg
116,Nothing Phone (3a),Dotted Design,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Dotted%20Design.jpg
117,Nothing Phone (3a),Epic Joker,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Epic%20Joker.jpg
118,Nothing Phone (3a),Finger ball,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Finger%20ball.jpg
119,Nothing Phone (3a),First Avanger,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_First%20Avanger.jpg
120,Nothing Phone (3a),Free Style,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Free%20Style.jpg
121,Nothing Phone (3a),Galaxy,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Galaxy.jpg
122,Nothing Phone (3a),Gear,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Gear.jpg
123,Nothing Phone (3a),Geomatric wine,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Geomatric%20wine.jpg
124,Nothing Phone (3a),Geometric sky,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Geometric%20sky.jpg
125,Nothing Phone (3a),Greay Bord,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Greay%20Bord.jpg
126,Nothing Phone (3a),HexaGlow,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_HexaGlow.jpg
127,Nothing Phone (3a),Hexagones,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Hexagones.jpg
128,Nothing Phone (3a),Holographic,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Holographic.jpg
129,Nothing Phone (3a),Honeycomb,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Honeycomb.jpg
130,Nothing Phone (3a),Iron Man,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Iron%20Man.jpg
131,Nothing Phone (3a),Ivery Block,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Ivery%20Block.jpg
132,Nothing Phone (3a),Johnwick,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Johnwick.jpg
133,Nothing Phone (3a),Joker Abstract,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Joker%20Abstract.jpg
134,Nothing Phone (3a),Joker AI,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Joker%20AI.jpg
135,Nothing Phone (3a),Joker Attitude,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Joker%20Attitude.jpg
136,Nothing Phone (3a),Joker HA HA,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Joker%20HA%20HA.jpg
137,Nothing Phone (3a),Joker Laughing,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Joker%20Laughing.jpg
138,Nothing Phone (3a),Joker Smoking,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Joker%20Smoking.jpg
139,Nothing Phone (3a),Joker,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Joker.jpg
140,Nothing Phone (3a),Landscape Block,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Landscape%20Block.jpg
141,Nothing Phone (3a),Life,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Life.jpg
142,Nothing Phone (3a),Look But Don't Touch,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Look%20But%20Don%27t%20Touch.jpg
143,Nothing Phone (3a),Marvel Heroes,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Marvel%20Heroes.jpg
144,Nothing Phone (3a),Minimalist Art,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Minimalist%20Art.jpg
145,Nothing Phone (3a),Multi Color,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Multi%20Color.jpg
146,Nothing Phone (3a),Neon Black,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Neon%20Black.jpg
147,Nothing Phone (3a),Old Memory,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Old%20Memory.jpg
148,Nothing Phone (3a),Old Watch,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Old%20Watch.jpg
149,Nothing Phone (3a),One Pice,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_One%20Pice.jpg
150,Nothing Phone (3a),Orange Blcok,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Orange%20Blcok.jpg
151,Nothing Phone (3a),Professor,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Professor.jpg
152,Nothing Phone (3a),Psycho,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Psycho.jpg
153,Nothing Phone (3a),Pubg,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Pubg.jpg
154,Nothing Phone (3a),Quotes,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Quotes.jpg
155,Nothing Phone (3a),Rang Rover,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Rang%20Rover.jpg
156,Nothing Phone (3a),Retro Circle,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Retro%20Circle.jpg
157,Nothing Phone (3a),Rocket Planet,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Rocket%20Planet.jpg
158,Nothing Phone (3a),Rocket,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Rocket.jpg
159,Nothing Phone (3a),Santa Claus,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Santa%20Claus.jpg
160,Nothing Phone (3a),Signature Pen,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Signature%20Pen.jpg
161,Nothing Phone (3a),Silver Box,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Silver%20Box.jpg
162,Nothing Phone (3a),Simle Emoji,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Simle%20Emoji.jpg
163,Nothing Phone (3a),Skeleton Smoke,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Skeleton%20Smoke.jpg
164,Nothing Phone (3a),Skeleton,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Skeleton.jpg
165,Nothing Phone (3a),Sleeping Lines,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Sleeping%20Lines.jpg
166,Nothing Phone (3a),Smily,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Smily.jpg
167,Nothing Phone (3a),Social Media,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Social%20Media.jpg
168,Nothing Phone (3a),Spiderman,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Spiderman.jpg
169,Nothing Phone (3a),Standing Lines,https://raw.githubusercontent.com/abid4197/NothingPhone/refs/heads/main/Nothing%20Phone%20%283a%29_Standing%20Lines.jpg
